info,to_margin,ypp_margin,yds_margin,result
Kent State @ Auburn: 16-55,0,3.29,312,1
Lamar @ Texas A&M: 3-62,1,4.86,436,1
Florida @ Kentucky: 29-21,2,-2.33,-31,0
Southeast Missouri State @ Missouri: 0-50,0,6.24,407,1
Northwestern State @ LSU: 14-65,1,4.63,332,1
Auburn @ Arkansas: 51-10,3,-3.57,-257,0
Florida @ South Carolina: 38-27,0,-0.66,33,0
LSU @ Mississippi State: 36-13,3,-1.67,-74,0
Missouri @ Vanderbilt: 14-21,0,0.72,22,1
Kentucky @ Georgia: 0-21,-1,1.44,93,1
Texas A&M @ Ole Miss: 24-17,0,0.03,67,0
Tennessee @ Alabama: 13-35,-1,2.64,142,1
Arkansas @ Kentucky: 20-24,1,0.98,113,1
Florida @ LSU: 28-42,-1,5.21,54,1
Arkansas vs Texas A&M: 27-31,-1,0.57,55,1
Towson @ Florida: 0-38,-3,2.97,174,1
UNLV @ Vanderbilt: 34-10,1,-0.62,-72,0
Eastern Washington @ Washington: 14-47,0,2.82,296,1
New Mexico State @ Washington State: 7-58,-3,4.23,301,1
UCLA @ Cincinnati: 14-24,2,-2.04,-199,1
Fresno State @ USC: 23-31,-1,0.1,14,1
Arizona @ Hawai'i: 38-45,4,0.04,56,1
Sacramento State @ Arizona State: 7-19,-1,1.81,90,1
San Diego State @ UCLA: 23-14,2,-0.89,-112,0
Nevada @ Oregon: 6-77,-3,5.6,431,1
Stanford @ USC: 20-45,0,3.21,162,1
Northern Arizona @ Arizona: 41-65,-2,3.84,278,1
Oregon State @ Hawai'i: 28-31,2,0.65,56,1
California @ Washington: 20-19,2,-0.83,45,0
Northern Illinois @ Utah: 17-35,-1,1.88,105,1
Northern Colorado @ Washington State: 17-59,-3,5.9,222,1
Washington State vs Houston: 31-24,1,-1.47,-122,0
Idaho State @ Utah: 0-31,0,6.34,427,1
Kent State @ Arizona State: 7-30,-1,3.38,255,1
Utah @ BYU: 30-12,3,-0.31,-69,0
Colorado State vs Colorado: 31-52,-4,1.6,-8,1
Hawai'i @ Washington: 20-52,-3,3.02,55,1
Air Force @ Colorado: 30-23,-2,-2.6,-119,0
Cal Poly @ Oregon State: 7-45,-1,4.52,234,1
Stanford @ UCF: 27-45,0,2.52,196,1
USC @ BYU: 27-30,-3,0.09,-22,1
North Texas @ California: 17-23,-2,-0.66,-51,1
Montana @ Oregon: 3-35,-1,3.13,318,1
Utah @ USC: 23-30,1,1.27,-76,1
Washington @ BYU: 45-19,1,-1.6,-114,0
Oregon @ Stanford: 21-6,1,-2.21,-86,0
Colorado @ Arizona State: 34-31,0,-0.05,-24,0
UCLA @ Washington State: 67-63,5,0.02,63,0
Arizona State @ California: 24-17,0,-1.18,-120,0
Colorado @ Oregon: 3-45,-4,3.38,228,1
USC @ Washington: 14-28,-2,0.35,-2,1
Washington State @ Arizona State: 34-38,0,1.27,34,1
USC @ Notre Dame: 27-30,0,-0.17,47,1
Utah @ Oregon State: 52-7,0,-4.99,-286,0
Stanford @ Oregon State: 31-28,0,0.87,148,0
Washington State @ Utah: 13-38,-2,2.44,213,1
UCLA @ Arizona: 17-20,-1,0.86,6,1
Arizona @ Colorado: 35-30,-1,-1.15,9,0
California @ Oregon: 7-17,1,1.62,153,1
Washington @ Stanford: 13-23,-1,1.44,188,1
Washington @ Arizona: 51-27,3,-1.72,-90,0
UCLA @ Stanford: 34-16,0,-2.72,-257,0
Oregon State @ California: 21-17,1,-0.05,0,0
Arizona State @ Utah: 3-21,2,2.44,206,1
Colorado @ Washington State: 10-41,-2,2.24,177,1
Arizona @ USC: 14-41,-2,1.65,63,1
UC Davis @ California: 13-27,3,2.08,207,1
Oregon State @ UCLA: 48-31,0,-2.2,44,0
Oregon @ Washington: 35-31,0,0.65,-34,0
Florida International @ Tulane: 14-42,-1,3.56,278,1
Alabama State @ UAB: 19-24,0,0.33,30,1
Rice @ Army: 7-14,1,-1.09,41,1
