info,to_margin,ypp_margin,yds_margin,result
North Texas @ Arkansas: 44-17,5,-0.65,-40,0
Florida @ Florida State: 41-14,3,-2.28,-243,0
Akron @ South Carolina: 3-28,1,2.62,124,1
Texas A&M @ Mississippi State: 13-28,-1,2.94,91,1
South Carolina @ Florida: 31-35,0,0.33,142,1
Memphis @ Missouri: 33-65,-2,3.93,248,1
Vanderbilt @ Missouri: 28-33,2,-0.98,41,1
Idaho @ Florida: 10-63,-1,4.26,373,1
Arkansas @ Missouri: 0-38,-1,2.99,221,1
Vanderbilt @ Arkansas: 45-31,2,0.38,5,0
Texas A&M @ Auburn: 24-28,-2,-0.09,-143,1
Arkansas @ Mississippi State: 6-52,-2,4.13,256,1
Tennessee @ South Carolina: 24-27,1,1.91,25,1
Ole Miss @ Texas A&M: 24-38,1,-0.16,62,1
Alabama @ Ole Miss: 62-7,1,-2.96,-268,0
South Carolina @ Ole Miss: 48-44,1,-1.11,106,0
Alabama vs Georgia: 35-28,-2,-0.65,51,0
Louisiana @ Mississippi State: 10-56,0,3.38,297,1
Louisiana Monroe @ Texas A&M: 10-48,-1,1.61,202,1
Missouri @ Purdue: 40-37,0,1.82,6,0
Florida vs Georgia: 17-36,-3,1.86,154,1
Mississippi State @ LSU: 3-19,-3,-0.93,-20,1
Auburn @ Alabama: 21-52,0,4.53,215,1
Mississippi State @ Alabama: 0-24,1,0.88,137,1
Tennessee @ Vanderbilt: 13-38,-1,0.84,225,1
Charlotte @ Tennessee: 3-14,-1,0.15,-52,1
Kentucky @ Tennessee: 7-24,-1,3.28,150,1
Kentucky @ Missouri: 16-14,-1,-1.23,-134,0
Missouri @ Tennessee: 50-17,2,-0.92,-229,0
Missouri @ Florida: 38-17,0,-1.61,-148,0
Kentucky @ Louisville: 56-10,-2,-2.25,-299,0
UMass @ Georgia: 27-66,0,4.08,311,1
South Carolina @ Clemson: 35-56,0,0.09,144,1
Vanderbilt @ Kentucky: 7-14,0,-0.45,14,1
Liberty @ Auburn: 0-53,-4,4.08,397,1
LSU @ Texas A&M: 72-74,0,-0.64,25,1
UAB @ Texas A&M: 20-41,-2,2.74,27,1
Alabama @ Tennessee: 58-21,0,-2.67,-287,0
Rice @ LSU: 10-42,1,4.59,354,1
Chattanooga @ South Carolina: 9-49,-2,2.24,268,1
Louisiana Tech @ Mississippi State: 3-45,-1,4.41,294,1
Weber State @ Utah: 10-41,4,6.47,526,1
San Diego State @ Stanford: 10-31,0,1.42,119,1
Colorado vs Colorado State: 45-13,-1,-5.43,-312,0
Oregon State @ Ohio State: 31-77,0,2.07,329,1
Cincinnati @ UCLA: 26-17,0,0.56,3,0
Bowling Green @ Oregon: 24-58,0,3.04,115,1
Washington vs Auburn: 16-21,-2,-1.1,18,1
Washington State @ Wyoming: 41-19,-1,-1.56,-188,0
UNLV @ USC: 21-43,-1,1.08,96,1
North Carolina @ California: 17-24,-4,-0.77,-29,1
UCLA @ Oregon: 21-42,-3,0.86,-4,1
USC @ Oregon State: 38-21,-1,-3.02,-177,0
Arizona State @ Oregon: 29-31,3,1.55,125,1
UT San Antonio @ Arizona State: 7-49,-3,5.53,283,1
BYU @ Arizona: 28-23,0,-0.8,-66,0
Arizona @ Houston: 18-45,-2,1.58,20,1
UCLA @ Oklahoma: 21-49,1,1.84,98,1
Portland State @ Oregon: 14-62,0,3.39,338,1
Colorado @ Nebraska: 33-28,3,2.15,169,0
North Dakota @ Washington: 3-45,1,4.03,370,1
Utah @ Northern Illinois: 17-6,0,-2.06,-126,0
Southern Utah @ Oregon State: 25-48,1,2.87,161,1
USC @ Stanford: 3-17,-3,1.45,10,1
California @ BYU: 21-18,-1,-1.57,-111,0
San José State @ Washington State: 0-31,2,4.26,435,1
Michigan State @ Arizona State: 13-16,0,-0.21,47,1
UC Davis @ Stanford: 10-30,-1,1.32,43,1
San José State @ Oregon: 22-35,0,0.92,147,1
New Hampshire @ Colorado: 14-45,-1,3.49,277,1
Idaho State @ California: 23-45,1,1.74,163,1
Oregon State @ Nevada: 35-37,-2,-0.3,-183,1
Eastern Washington @ Washington State: 24-59,-4,1.75,193,1
USC @ Texas: 14-37,0,-0.15,77,1
Washington @ Utah: 21-7,2,-1.19,-66,0
Fresno State @ UCLA: 38-14,2,-0.03,-150,0
Arizona State @ San Diego State: 21-28,1,-0.1,63,1
Southern Utah @ Arizona: 31-62,0,5.71,163,1
Washington State @ USC: 36-39,0,0.49,-81,1
Arizona @ Oregon State: 35-14,-1,-5.34,-356,0
Oregon State @ Stanford: 17-48,0,2.82,192,1
Stanford @ Oregon: 38-31,3,-1.57,126,0
Arizona State @ Washington: 20-27,0,2.02,105,1
Stanford @ Washington: 23-27,-3,-1.18,-53,1
Arizona @ Washington State: 28-69,-4,1.59,174,1
UCLA @ Colorado: 16-38,0,1.77,188,1
California @ Washington State: 13-19,0,2.02,125,1
Utah @ Washington State: 24-28,1,1.91,123,1
Stanford @ Notre Dame: 17-38,-1,1.92,322,1
BYU @ Washington: 7-35,0,3.52,270,1
Oregon State @ Arizona State: 24-52,-1,2.37,152,1
Oregon @ California: 42-24,4,-1.65,-58,0
Arizona State @ Colorado: 21-28,0,-0.11,127,1
California @ USC: 15-14,1,0.28,70,0
Washington State @ Oregon State: 56-37,0,-2.0,-32,0
California @ Arizona: 17-24,-2,-1.69,-211,1
Utah @ Stanford: 40-21,4,-0.54,2,0
Arizona @ Utah: 10-42,1,3.15,177,1
Washington @ Oregon: 27-30,-1,-1.56,-58,1
UCLA @ California: 30-7,3,-0.57,-50,0
Colorado @ USC: 20-31,1,2.32,69,1
Stanford @ Arizona State: 20-13,3,1.52,77,0
Washington @ UCLA: 31-24,0,0.79,-40,0
Washington @ California: 10-12,-2,-0.28,-8,1
Utah vs Washington: 3-10,-2,0.58,118,1
Washington @ Washington State: 28-15,0,-4.24,-250,0
Colorado @ Arizona: 34-42,0,3.1,183,1
Colorado @ Washington: 13-27,1,1.23,88,1
Utah @ UCLA: 41-10,2,-1.82,-169,0
Washington State @ Stanford: 41-38,1,-0.68,-73,0
California @ Oregon State: 49-7,1,-4.55,-298,0
Oregon @ Oregon State: 55-15,4,-1.76,-172,0
Stanford @ California: 23-13,2,-0.38,23,0
UCLA @ Arizona State: 28-31,0,-0.93,41,1
Oregon @ Washington State: 20-34,2,0.51,72,1
USC @ Utah: 28-41,0,2.88,336,1
Arizona State @ USC: 38-35,0,0.06,-30,0
Stanford @ UCLA: 49-42,1,-0.73,58,0
Arizona @ UCLA: 30-31,-2,-1.61,-60,1
Oregon State @ Colorado: 41-34,-1,2.51,77,0
Arizona State @ Arizona: 41-40,2,-0.2,119,0
Washington State @ Colorado: 31-7,3,0.43,-180,0
Utah @ Arizona State: 20-38,-2,1.64,211,1
