info,to_margin,ypp_margin,yds_margin,result
Rutgers @ Michigan: 14-35,1,2.48,276,1
Indiana @ Maryland: 39-42,0,1.18,-138,1
Minnesota @ Iowa: 10-17,1,1.35,34,1
Nebraska @ Purdue: 25-24,0,-0.62,-108,0
Ohio State @ Iowa: 24-55,-4,1.16,116,1
Penn State @ Michigan State: 24-27,-2,-0.83,8,1
Wisconsin @ Indiana: 45-17,2,-0.66,-141,0
Illinois @ Purdue: 10-29,0,2.01,185,1
Charleston Southern @ Indiana: 0-27,3,3.08,344,1
Maryland @ Rutgers: 24-31,1,-0.17,-39,1
Northwestern @ Nebraska: 31-24,1,-1.05,-138,0
Minnesota @ Michigan: 10-33,-1,5.61,263,1
Michigan @ Wisconsin: 10-24,0,1.79,91,1
Rutgers @ Penn State: 6-35,-1,2.46,104,1
Purdue @ Northwestern: 13-23,-1,-0.63,-48,1
Indiana @ Illinois: 24-14,2,0.49,-134,0
Michigan @ Maryland: 35-10,2,-0.59,35,0
Nebraska @ Minnesota: 21-54,0,2.92,134,1
Iowa @ Nebraska: 56-14,3,-3.3,-238,0
Wisconsin @ Minnesota: 31-0,-1,-4.83,-323,0
Ohio State @ Michigan: 31-20,1,-1.22,-55,0
Penn State @ Maryland: 66-3,2,-1.18,-231,0
Michigan State @ Rutgers: 40-7,3,-1.23,-319,0
Northwestern @ Illinois: 42-7,2,-2.82,-207,0
Indiana @ Purdue: 24-31,0,0.8,-44,1
Ohio State vs Wisconsin: 27-21,-1,-2.52,-151,0
Illinois @ Ohio State: 14-52,0,3.67,438,1
Nebraska @ Penn State: 44-56,1,1.27,143,1
Maryland @ Michigan State: 7-17,0,0.83,87,1
Minnesota @ Northwestern: 0-39,-5,1.62,181,1
Rutgers @ Indiana: 0-41,-1,3.29,313,1
Purdue @ Iowa: 24-15,2,-0.82,-36,0
Iowa @ Wisconsin: 14-38,1,4.38,316,1
Michigan State @ Ohio State: 3-48,-1,5.28,329,1
Michigan vs South Carolina: 19-26,2,-1.62,-23,1
Kentucky vs Northwestern: 23-24,-2,0.2,104,1
Washington vs Penn State: 28-35,2,0.88,214,1
Washington State vs Michigan State: 17-42,-1,1.18,144,1
USC vs Ohio State: 7-24,-3,-0.06,-136,1
Arizona vs Purdue: 35-38,-1,-0.26,125,1
Florida A&M vs Arkansas: 7-49,0,3.28,240,1
Georgia Southern @ Auburn: 7-41,2,5.38,457,1
BYU vs LSU: 0-27,-1,3.83,382,1
Appalachian State @ Georgia: 10-31,2,1.31,84,1
Missouri State @ Missouri: 43-72,0,4.22,323,1
Kentucky @ Southern Mississippi: 24-17,2,0.05,110,0
Charleston Southern @ Mississippi State: 0-49,0,5.75,522,1
South Alabama @ Ole Miss: 27-47,1,2.8,157,1
Texas A&M @ UCLA: 44-45,3,1.53,83,1
Fresno State @ Alabama: 10-41,-1,3.2,224,1
Chattanooga @ LSU: 10-45,-2,2.99,212,1
Georgia @ Notre Dame: 20-19,0,-1.03,-60,0
Indiana State @ Tennessee: 7-42,2,2.12,180,1
Eastern Kentucky @ Kentucky: 16-27,-2,1.87,118,1
UT Martin @ Ole Miss: 23-45,0,3.43,209,1
Alabama A&M @ Vanderbilt: 0-42,-2,4.63,298,1
South Carolina @ Missouri: 31-13,3,0.85,64,0
Nicholls @ Texas A&M: 14-24,-2,-1.3,55,1
Mississippi State @ Louisiana Tech: 57-21,2,-3.71,-144,0
Vanderbilt @ Middle Tennessee: 28-6,1,-2.05,-152,0
Colorado State @ Alabama: 23-41,-2,3.1,96,1
LSU @ Mississippi State: 7-37,0,1.89,195,1
Samford @ Georgia: 14-42,0,2.36,210,1
Mercer @ Auburn: 10-24,5,2.7,264,1
Tennessee @ Florida: 20-26,0,0.53,-62,1
Louisiana @ Texas A&M: 21-45,-3,2.25,171,1
Kentucky @ South Carolina: 23-13,0,1.45,5,0
Ole Miss @ California: 16-27,-1,-1.16,-17,1
Alabama @ Vanderbilt: 59-0,2,-5.23,-599,0
Mississippi State @ Georgia: 3-31,-1,3.48,124,1
Auburn @ Missouri: 51-14,4,-1.66,-142,0
Florida @ Kentucky: 28-27,-1,-0.51,-55,0
Texas A&M vs Arkansas: 50-43,0,-0.91,-44,0
UMass @ Tennessee: 13-17,1,-0.27,38,1
Louisiana Tech @ South Carolina: 16-17,1,0.62,77,1
Ole Miss @ Alabama: 3-66,-2,3.57,360,1
Georgia @ Tennessee: 41-0,3,-2.52,-236,0
Mississippi State @ Auburn: 10-49,0,4.95,160,1
Vanderbilt @ Florida: 24-38,0,0.9,157,1
Troy @ LSU: 24-21,2,1.83,65,0
New Mexico State @ Arkansas: 24-42,-1,-0.41,139,1
Eastern Michigan @ Kentucky: 20-24,-2,-0.65,-84,1
Alabama @ Texas A&M: 27-19,2,-0.92,-47,0
Georgia @ Vanderbilt: 45-14,-1,-3.62,-313,0
Ole Miss @ Auburn: 23-44,0,2.5,132,1
LSU @ Florida: 17-16,0,0.26,-39,0
Arkansas @ South Carolina: 22-48,-4,0.56,28,1
Missouri @ Kentucky: 34-40,-1,-1.08,-82,1
Arkansas @ Alabama: 9-41,1,4.6,269,1
Missouri @ Georgia: 28-53,0,2.67,384,1
Auburn @ LSU: 23-27,1,0.61,9,1
BYU @ Mississippi State: 10-35,1,2.67,370,1
South Carolina @ Tennessee: 15-9,0,-0.68,-70,0
Vanderbilt @ Ole Miss: 35-57,-2,2.3,186,1
South Carolina @ Texas A&M: 17-24,0,0.23,117,1
Texas A&M @ Florida: 19-17,1,1.21,108,0
Tennessee @ Alabama: 7-45,1,4.68,496,1
Auburn @ Arkansas: 52-20,1,-3.26,-295,0
LSU @ Ole Miss: 40-24,3,-3.12,-246,0
Idaho @ Missouri: 21-68,0,6.52,380,1
Kentucky @ Mississippi State: 7-45,-2,1.47,181,1
Georgia vs Florida: 42-7,1,-5.58,-144,0
Arkansas @ Ole Miss: 38-37,1,4.18,117,0
Vanderbilt @ South Carolina: 27-34,-1,-0.26,-54,1
Missouri @ Connecticut: 52-12,0,-3.76,-229,0
Mississippi State @ Texas A&M: 35-14,2,-0.92,-84,0
Tennessee @ Kentucky: 26-29,4,1.43,-74,1
Southern Mississippi @ Tennessee: 10-24,-2,-0.16,-69,1
South Carolina @ Georgia: 10-24,-1,0.75,168,1
LSU @ Alabama: 10-24,-1,0.79,-7,1
Auburn @ Texas A&M: 42-27,0,-1.16,-153,0
UMass @ Mississippi State: 23-34,2,-0.3,43,1
Florida @ Missouri: 16-45,-1,0.97,106,1
Western Kentucky @ Vanderbilt: 17-31,0,2.83,45,1
Ole Miss @ Kentucky: 37-34,0,-0.56,-18,0
Coastal Carolina @ Arkansas: 38-39,1,3.28,164,1
Georgia @ Auburn: 17-40,-1,3.1,258,1
Louisiana @ Ole Miss: 22-50,1,1.64,214,1
Florida @ South Carolina: 20-28,1,1.24,168,1
Mercer @ Alabama: 0-56,-1,6.19,369,1
Louisiana Monroe @ Auburn: 14-42,-1,3.38,222,1
Kentucky @ Georgia: 13-42,0,4.32,242,1
Mississippi State @ Arkansas: 28-21,-1,-0.65,-127,0
LSU @ Tennessee: 30-10,2,0.02,6,0
Wofford @ South Carolina: 10-31,-3,1.35,162,1
Kentucky @ Vanderbilt: 44-21,3,-0.83,-59,0
UAB @ Florida: 7-36,-4,0.38,229,1
Texas A&M @ Ole Miss: 31-24,1,0.21,0,0
Missouri @ Vanderbilt: 45-17,3,-1.79,-27,0
Ole Miss @ Mississippi State: 31-28,3,-1.24,146,0
Missouri @ Arkansas: 48-45,-1,0.49,-250,0
Alabama @ Auburn: 14-26,0,0.08,94,1
New Mexico @ Texas A&M: 14-55,-1,6.07,418,1
Tennessee @ Missouri: 17-50,-3,3.75,374,1
Texas A&M @ LSU: 21-45,-3,1.96,319,1
Vanderbilt @ Tennessee: 42-24,1,-1.61,-291,0
Arkansas @ LSU: 10-33,-1,2.8,97,1
Georgia vs Auburn: 28-7,2,-2.57,-162,0
Notre Dame vs LSU: 21-17,-2,-0.62,31,0
Alabama vs Georgia: 26-23,-1,0.49,6,0
UCF vs Auburn: 34-27,-2,0.95,-10,0
Stanford vs Rice: 62-7,-2,5.1,415,0
Oregon State @ Colorado State: 27-58,-3,0.4,69,1
North Dakota @ Utah: 16-37,0,2.21,257,1
New Mexico State @ Arizona State: 31-37,-2,-0.52,-149,1
Colorado State vs Colorado: 3-17,-1,0.19,-52,1
Western Michigan @ USC: 31-49,1,2.75,164,1
Montana State @ Washington State: 0-31,0,3.75,368,1
Portland State @ Oregon State: 32-35,-1,0.54,-126,1
Southern Utah @ Oregon: 21-77,0,4.65,338,1
Northern Arizona @ Arizona: 24-62,-3,3.65,33,1
Texas State @ Colorado: 3-37,-2,1.23,147,1
Hawai'i @ UCLA: 23-56,-1,2.82,-10,1
Weber State @ California: 20-33,-2,0.07,-140,1
Utah @ BYU: 19-13,1,-2.19,-197,0
Stanford @ USC: 24-42,2,2.09,281,1
Montana @ Washington: 7-63,-3,5.24,343,1
Boise State @ Washington State: 44-47,-1,-0.73,54,1
Houston @ Arizona: 19-16,0,-0.67,-12,0
Oregon @ Wyoming: 49-13,-1,-2.66,-375,0
San José State @ Utah: 16-54,-2,2.31,238,1
Utah @ Arizona: 30-24,3,0.17,107,0
USC @ California: 30-20,4,0.21,60,0
Washington @ Colorado: 37-10,2,-2.64,-103,0
Nevada @ Washington State: 7-45,-1,3.87,409,1
Oregon @ Arizona State: 35-37,0,-0.85,88,1
San Diego State @ Arizona State: 30-20,1,-0.43,-10,0
Arizona @ UTEP: 63-16,1,-1.58,-283,0
UCLA @ Stanford: 34-58,-3,0.08,-42,1
USC @ Washington State: 27-30,-1,0.07,135,1
Washington @ Oregon State: 42-7,1,-3.11,-325,0
Fresno State @ Washington: 16-48,1,2.57,107,1
Arizona State @ Stanford: 24-34,-1,3.08,95,1
Stanford @ San Diego State: 17-20,-3,-1.38,99,1
Colorado @ UCLA: 23-27,1,0.13,33,1
Oregon State @ Washington State: 23-52,-2,1.58,137,1
UCLA @ Memphis: 45-48,0,0.41,-73,1
Northern Colorado @ Colorado: 21-41,1,3.1,296,1
California @ Oregon: 24-45,-1,2.23,196,1
Arizona @ Colorado: 45-42,-1,-4.0,-16,0
Washington State @ California: 3-37,-7,0.66,28,1
Washington @ Arizona State: 7-13,0,0.13,55,1
Utah @ USC: 27-28,2,0.09,96,1
Oregon @ Stanford: 7-49,-1,1.79,195,1
Colorado @ Oregon State: 36-33,1,1.02,184,0
UCLA @ Arizona: 30-47,-4,2.5,196,1
USC @ Notre Dame: 14-49,-3,2.19,161,1
Colorado @ Washington State: 0-28,1,2.85,232,1
Arizona State @ Utah: 30-10,3,-0.18,-80,0
Oregon @ UCLA: 14-31,-2,1.43,88,1
Arizona @ California: 45-44,1,-3.45,-38,0
Stanford @ Oregon State: 15-14,2,0.49,42,0
California @ Washington: 7-38,0,2.92,284,1
Washington State @ Oregon: 33-10,1,-1.66,-92,0
Oregon State @ USC: 10-38,0,2.11,193,1
Stanford @ Utah: 23-20,2,-1.75,-2,0
California @ Colorado: 28-44,0,1.34,118,1
UCLA @ Washington: 23-44,1,2.51,210,1
Washington State @ Arizona: 37-58,-1,5.01,-68,1
USC @ Arizona State: 48-17,0,-1.64,-250,0
UCLA @ Utah: 17-48,-1,1.84,257,1
Oregon @ Washington: 3-38,-1,3.69,173,1
Arizona @ USC: 35-49,-2,3.1,262,1
Stanford @ Washington State: 21-24,0,1.37,232,1
Utah @ Oregon: 20-41,0,1.45,32,1
Oregon State @ California: 23-37,1,1.0,176,1
Colorado @ Arizona State: 30-41,-1,0.95,129,1
Washington @ Stanford: 22-30,-1,-0.09,81,1
UCLA @ USC: 23-28,-1,0.01,-84,1
Washington State @ Utah: 33-25,5,0.9,29,0
USC @ Colorado: 38-24,2,-1.39,-36,0
Utah @ Washington: 30-33,-1,1.42,67,1
California @ Stanford: 14-17,0,-0.01,41,1
Arizona @ Oregon: 28-48,-1,4.16,258,1
California @ UCLA: 27-30,0,0.81,4,1
Notre Dame @ Stanford: 20-38,-3,-0.22,-87,1
Washington State @ Washington: 14-41,-4,1.79,76,1
Arizona @ Arizona State: 30-42,1,-0.19,-49,1
Oregon State @ Oregon: 10-69,-3,4.12,366,1
Colorado @ Utah: 13-34,-1,1.4,172,1
Stanford vs USC: 28-31,1,1.76,158,1
Arizona State @ Oregon State: 40-24,2,-1.3,-78,0
Arizona State @ UCLA: 37-44,0,1.39,-11,1
Oregon State @ Arizona: 28-49,0,4.42,242,1
